Title,Title20,Country/Region,SCIE,SSCI,AHCI,ESCI
APPLIED BIOCHEMISTRY AND MICROBIOLOGY,APPL BIOCHEM MICRO+,RUSSIA,X,,,
APPLIED BIOLOGICAL CHEMISTRY,APPL BIOL CHEM,SOUTH KOREA,X,,,
APPLIED BIOLOGICAL RESEARCH,APPL BIOL RES,INDIA,,,,X
APPLIED BIONICS AND BIOMECHANICS,APPL BIONICS BIOMECH,EGYPT,X,,,
APPLIED CATALYSIS A-GENERAL,APPL CATAL A-GEN,NETHERLANDS,X,,,
APPLIED CATALYSIS B-ENVIRONMENTAL,APPL CATAL B-ENVIRON,NETHERLANDS,X,,,
APPLIED CATEGORICAL STRUCTURES,APPL CATEGOR STRUCT,NETHERLANDS,X,,,
APPLIED CHEMISTRY FOR ENGINEERING,APPL CHEM ENG,SOUTH KOREA,,,,X
APPLIED CLAY SCIENCE,APPL CLAY SCI,NETHERLANDS,X,,,
APPLIED CLINICAL INFORMATICS,APPL CLIN INFORM,GERMANY,X,,,
APPLIED COGNITIVE PSYCHOLOGY,APPL COGNITIVE PSYCH,ENGLAND,,X,,
APPLIED COMPOSITE MATERIALS,APPL COMPOS MATER,ENGLAND,X,,,
APPLIED COMPUTATIONAL ELECTROMAGNETICS SOCIETY JOURNAL,APPL COMPUT ELECTROM,UNITED STATES,X,,,
APPLIED COMPUTATIONAL INTELLIGENCE AND SOFT COMPUTING,APPL COMPUT INTELL S,UNITED STATES,,,,X
APPLIED COMPUTER SYSTEMS,APPL COMPUT SYST,LATVIA,,,,X
APPLIED COMPUTING REVIEW,APPL COMPUT REV,UNITED STATES,,,,X
APPLIED DEVELOPMENTAL SCIENCE,APPL DEV SCI,UNITED STATES,,X,,
APPLIED EARTH SCIENCE-TRANSACTIONS OF THE INSTITUTIONS OF MINING AND METALLURGY,APPL EARTH SCI,ENGLAND,,,,X
APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,APPL ECOL ENV RES,HUNGARY,X,,,
APPLIED ECONOMIC ANALYSIS,APPL ECON ANAL,ENGLAND,,X,,
APPLIED ECONOMIC PERSPECTIVES AND POLICY,APPL ECON PERSPECT P,UNITED STATES,X,X,,
APPLIED ECONOMICS,APPL ECON,ENGLAND,,X,,
APPLIED ECONOMICS JOURNAL,APPL ECON J,THAILAND,,,,X
APPLIED ECONOMICS LETTERS,APPL ECON LETT,ENGLAND,,X,,
APPLIED ENERGY,APPL ENERG,ENGLAND,X,,,
APPLIED ENGINEERING IN AGRICULTURE,APPL ENG AGRIC,UNITED STATES,X,,,
APPLIED ENTOMOLOGY AND ZOOLOGY,APPL ENTOMOL ZOOL,JAPAN,X,,,
APPLIED ERGONOMICS,APPL ERGON,ENGLAND,X,X,,
APPLIED FOOD BIOTECHNOLOGY,APPL FOOD BIOTECHNOL,IRAN,,,,X
APPLIED GENERAL TOPOLOGY,APPL GEN TOPOL,SPAIN,,,,X
APPLIED GEOCHEMISTRY,APPL GEOCHEM,ENGLAND,X,,,
APPLIED GEOGRAPHY,APPL GEOGR,ENGLAND,,X,,
APPLIED GEOMATICS,APPL GEOMAT,GERMANY,,,,X
APPLIED GEOPHYSICS,APPL GEOPHYS,PEOPLES R CHINA,X,,,
APPLIED HEALTH ECONOMICS AND HEALTH POLICY,APPL HEALTH ECON HEA,SWITZERLAND,X,X,,
APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY,APPL IMMUNOHISTO M M,UNITED STATES,X,,,
APPLIED INTELLIGENCE,APPL INTELL,NETHERLANDS,X,,,
APPLIED LINGUISTICS,APPL LINGUIST,ENGLAND,,X,,
APPLIED LINGUISTICS REVIEW,APPL LINGUIST REV,GERMANY,,X,X,
APPLIED MAGNETIC RESONANCE,APPL MAGN RESON,AUSTRIA,X,,,
APPLIED MATERIALS TODAY,APPL MATER TODAY,NETHERLANDS,X,,,
APPLIED MATHEMATICAL MODELLING,APPL MATH MODEL,UNITED STATES,X,,,
APPLIED MATHEMATICS AND COMPUTATION,APPL MATH COMPUT,UNITED STATES,X,,,
APPLIED MATHEMATICS AND MECHANICS-ENGLISH EDITION,APPL MATH MECH-ENGL,PEOPLES R CHINA,X,,,
APPLIED MATHEMATICS AND OPTIMIZATION,APPL MATH OPT,GERMANY,X,,,
APPLIED MATHEMATICS E-NOTES,APPL MATH E-NOTES,TAIWAN,,,,X
APPLIED MATHEMATICS LETTERS,APPL MATH LETT,UNITED STATES,X,,,
APPLIED MATHEMATICS-A JOURNAL OF CHINESE UNIVERSITIES SERIES B,APPL MATH SER B,PEOPLES R CHINA,X,,,
APPLIED MEASUREMENT IN EDUCATION,APPL MEAS EDUC,UNITED STATES,,X,,
APPLIED MECHANICS REVIEWS,APPL MECH REV,UNITED STATES,X,,,
APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,APPL MICROBIOL BIOT,GERMANY,X,,,
APPLIED NANOSCIENCE,APPL NANOSCI,SAUDI ARABIA,X,,,
APPLIED NEUROPSYCHOLOGY-ADULT,APPL NEUROPSYCH-ADUL,UNITED STATES,X,,,
APPLIED NEUROPSYCHOLOGY-CHILD,APPL NEUROPSYCH-CHIL,UNITED STATES,X,,,
APPLIED NUMERICAL MATHEMATICS,APPL NUMER MATH,NETHERLANDS,X,,,
APPLIED NURSING RESEARCH,APPL NURS RES,UNITED STATES,X,X,,
APPLIED OCEAN RESEARCH,APPL OCEAN RES,ENGLAND,X,,,
APPLIED ONTOLOGY,APPL ONTOL,NETHERLANDS,X,,,
APPLIED OPTICS,APPL OPTICS,UNITED STATES,X,,,
APPLIED ORGANOMETALLIC CHEMISTRY,APPL ORGANOMET CHEM,ENGLAND,X,,,
APPLIED PETROCHEMICAL RESEARCH,APPL PETROCHEM RES,GERMANY,,,,X
APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING,APPL PHYS A-MATER,GERMANY,X,,,
APPLIED PHYSICS B-LASERS AND OPTICS,APPL PHYS B-LASERS O,UNITED STATES,X,,,
APPLIED PHYSICS EXPRESS,APPL PHYS EXPRESS,JAPAN,X,,,
APPLIED PHYSICS LETTERS,APPL PHYS LETT,UNITED STATES,X,,,
APPLIED PHYSICS REVIEWS,APPL PHYS REV,UNITED STATES,X,,,
APPLIED PHYSIOLOGY NUTRITION AND METABOLISM,APPL PHYSIOL NUTR ME,CANADA,X,,,
APPLIED PSYCHOLINGUISTICS,APPL PSYCHOLINGUIST,UNITED STATES,,X,,
APPLIED PSYCHOLOGICAL MEASUREMENT,APPL PSYCH MEAS,UNITED STATES,,X,,
APPLIED PSYCHOLOGY IN CRIMINAL JUSTICE,APPL PSYCHOL CRIM JU,UNITED STATES,,,,X
APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,APPL PSYCHOL-INT REV,ENGLAND,,X,,
APPLIED PSYCHOLOGY-HEALTH AND WELL BEING,APPL PSYCHOL-HLTH WE,ENGLAND,,X,,
APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK,APPL PSYCHOPHYS BIOF,UNITED STATES,,X,,
APPLIED RADIATION AND ISOTOPES,APPL RADIAT ISOTOPES,UNITED STATES,X,,,
APPLIED RADIOLOGY,APPL RADIOL,SPAIN,,,,X
APPLIED RESEARCH & AGROTECHNOLOGY,APPL RES AGROTECHNOL,BRAZIL,,,,X
APPLIED RESEARCH IN QUALITY OF LIFE,APPL RES QUAL LIFE,NETHERLANDS,,X,,
APPLIED RHEOLOGY,APPL RHEOL,GERMANY,X,,,
APPLIED SCIENCE AND CONVERGENCE TECHNOLOGY,APPL SCI CONVERG TEC,SOUTH KOREA,,,,X
APPLIED SCIENCES-BASEL,APPL SCI-BASEL,SWITZERLAND,X,,,
APPLIED SOFT COMPUTING,APPL SOFT COMPUT,NETHERLANDS,X,,,
APPLIED SOIL ECOLOGY,APPL SOIL ECOL,NETHERLANDS,X,,,
APPLIED SPATIAL ANALYSIS AND POLICY,APPL SPAT ANAL POLIC,NETHERLANDS,,X,,
APPLIED SPECTROSCOPY,APPL SPECTROSC,UNITED STATES,X,,,
APPLIED SPECTROSCOPY REVIEWS,APPL SPECTROSC REV,UNITED STATES,X,,,
APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY,APPL STOCH MODEL BUS,ENGLAND,X,,,
APPLIED SURFACE SCIENCE,APPL SURF SCI,NETHERLANDS,X,,,
APPLIED THEATRE RESEARCH,APPL THEATRE RES,ENGLAND,,,,X
APPLIED THERMAL ENGINEERING,APPL THERM ENG,ENGLAND,X,,,
APPLIED VEGETATION SCIENCE,APPL VEG SCI,ENGLAND,X,,,
APPLIED WATER SCIENCE,APPL WATER SCI,GERMANY,X,,,
APPROACHES TO AGING CONTROL,APPROACH AGING CONTR,SPAIN,,,,X
APPROACHING RELIGION,APPROACHING RELIG,FINLAND,,,,X
APSIPA TRANSACTIONS ON SIGNAL AND INFORMATION PROCESSING,APSIPA TRANS SIGNAL,ENGLAND,,,,X
APUNTES DEL CENES,APUNT CENES,COLOMBIA,,,,X
APUNTES UNIVERSITARIOS,APUNT UNIV,PERU,,,,X
APUNTES-REVISTA DE CIENCIAS SOCIALES,APUNTES-REV CIENC SO,PERU,,,,X
APUNTS EDUCACION FISICA Y DEPORTES,APUNT EDUC FIS DEPOR,SPAIN,,,,X
APUNTS-MEDICINA DE L ESPORT,APUNTS-MED ESPORT,SPAIN,,,,X
AQUACULTURAL ENGINEERING,AQUACULT ENG,NETHERLANDS,X,,,
AQUACULTURE,AQUACULTURE,NETHERLANDS,X,,,
AQUACULTURE ECONOMICS & MANAGEMENT,AQUACULT ECON MANAG,ENGLAND,X,,,
AQUACULTURE ENVIRONMENT INTERACTIONS,AQUACULT ENV INTERAC,GERMANY,X,,,
AQUACULTURE INTERNATIONAL,AQUACULT INT,NETHERLANDS,X,,,
AQUACULTURE NUTRITION,AQUACULT NUTR,ENGLAND,X,,,
AQUACULTURE REPORTS,AQUACULT REP,NETHERLANDS,X,,,
AQUACULTURE RESEARCH,AQUAC RES,ENGLAND,X,,,
AQUATIC BIOLOGY,AQUAT BIOL,GERMANY,X,,,
AQUATIC BOTANY,AQUAT BOT,NETHERLANDS,X,,,
AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,AQUAT CONSERV,ENGLAND,X,,,
AQUATIC ECOLOGY,AQUAT ECOL,NETHERLANDS,X,,,
AQUATIC ECOSYSTEM HEALTH & MANAGEMENT,AQUAT ECOSYST HEALTH,UNITED STATES,X,,,
AQUATIC GEOCHEMISTRY,AQUAT GEOCHEM,UNITED STATES,X,,,
AQUATIC INSECTS,AQUAT INSECT,ENGLAND,X,,,
AQUATIC INVASIONS,AQUAT INVASIONS,FINLAND,X,,,
AQUATIC LIVING RESOURCES,AQUAT LIVING RESOUR,FRANCE,X,,,
AQUATIC MAMMALS,AQUAT MAMM,UNITED STATES,X,,,
AQUATIC MICROBIAL ECOLOGY,AQUAT MICROB ECOL,GERMANY,X,,,
AQUATIC SCIENCES,AQUAT SCI,SWITZERLAND,X,,,
AQUATIC SCIENCES AND ENGINEERING,AQUAT SCI ENG,TURKEY,,,,X
AQUATIC TOXICOLOGY,AQUAT TOXICOL,NETHERLANDS,X,,,
ARAB JOURNAL OF GASTROENTEROLOGY,ARAB J GASTROENTEROL,NETHERLANDS,X,,,
ARAB JOURNAL OF NUCLEAR SCIENCES AND APPLICATIONS,ARAB J NUCL SCI APPL,EGYPT,,,,X
ARAB JOURNAL OF UROLOGY,ARAB J UROL,EGYPT,,,,X
ARAB LAW QUARTERLY,ARAB LAW Q,NETHERLANDS,,,,X
ARAB STUDIES QUARTERLY,ARAB STUD Q,ENGLAND,,,,X
ARAB WORLD ENGLISH JOURNAL,ARAB WORLD ENGL J,MALAYSIA,,,,X
ARABIAN ARCHAEOLOGY AND EPIGRAPHY,ARAB ARCHAEOL EPIGR,DENMARK,,,X,
ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING,ARAB J SCI ENG,SAUDI ARABIA,X,,,
ARABIAN JOURNAL OF CHEMISTRY,ARAB J CHEM,SAUDI ARABIA,X,,,
ARABIAN JOURNAL OF GEOSCIENCES,ARAB J GEOSCI,GERMANY,X,,,
ARABIAN JOURNAL OF MATHEMATICS,ARAB J MATH,GERMANY,,,,X
ARABIC SCIENCES AND PHILOSOPHY,ARAB SCI PHILOS,ENGLAND,,,X,
ARABICA,ARABICA,ENGLAND,,,X,
ARAMAIC STUDIES,ARAMAIC STUD,NETHERLANDS,,,,X
ARAUCARIA-REVISTA IBEROAMERICANA DE FILOSOFIA POLITICA Y HUMANIDADES,ARAUCARIA,SPAIN,,,,X
ARBOR-CIENCIA PENSAMIENTO Y CULTURA,ARBOR,SPAIN,,,X,
ARCADIA,ARCADIA,GERMANY,,,X,
ARCHAEA-AN INTERNATIONAL MICROBIOLOGICAL JOURNAL,ARCHAEA,UNITED STATES,X,,,
ARCHAEOFAUNA,ARCHAEOFAUNA,SPAIN,,,X,
ARCHAEOLOGIA AUSTRIACA,ARCHAEOL AUSTRIACA,AUSTRIA,,,,X
ARCHAEOLOGIA MARITIMA MEDITERRANEA-AN INTERNATIONAL JOURNAL ON UNDERWATER ARCHAEOLOGY,ARCHAEOL MARIT MEDIT,ITALY,,,,X
ARCHAEOLOGICAL AND ANTHROPOLOGICAL SCIENCES,ARCHAEOL ANTHROP SCI,GERMANY,X,X,X,
ARCHAEOLOGICAL DIALOGUES,ARCHAEOL DIALOG,ENGLAND,,,X,
ARCHAEOLOGICAL JOURNAL,ARCHAEOL J,ENGLAND,,,,X
ARCHAEOLOGICAL PROSPECTION,ARCHAEOL PROSPECT,ENGLAND,X,,X,
ARCHAEOLOGICAL REPORTS-LONDON,ARCHAEOL REP-LONDON,ENGLAND,,,X,
ARCHAEOLOGICAL RESEARCH IN ASIA,ARCHAEOL RES ASIA,ENGLAND,,,X,
ARCHAEOLOGIES-JOURNAL OF THE WORLD ARCHAEOLOGICAL CONGRESS,ARCHAEOLOGIES,UNITED STATES,,,X,
ARCHAEOLOGY,ARCHAEOLOGY,UNITED STATES,,,X,
ARCHAEOLOGY ETHNOLOGY AND ANTHROPOLOGY OF EURASIA,ARCHAEOL ETHNOL ANTH,RUSSIA,,,,X
ARCHAEOLOGY IN OCEANIA,ARCHAEOL OCEAN,AUSTRALIA,,X,X,
ARCHAEOLOGY INTERNATIONAL,ARCHAEOL INT,ENGLAND,,,,X
ARCHAEOMETRY,ARCHAEOMETRY,ENGLAND,X,,X,
ARCHAI-REVISTA DE ESTUDOS SOBRE AS ORIGENS DO PENSAMENTO OCIDENTAL,ARCHAI,BRAZIL,,,,X
ARCHAOLOGISCHES KORRESPONDENZBLATT,ARCHAOL KORRESPONDEN,GERMANY,,,X,
ARCHEOLOGIA E CALCOLATORI,ARCHEOL CALC,ITALY,,,,X
ARCHEOLOGICKE ROZHLEDY,ARCHEOL ROZHL,CZECH REPUBLIC,,,X,
ARCHEOMATICA-TECNOLOGIE PER I BENI CULTURALI,ARCHEOMATICA,ITALY,,,,X
ARCHIPEL-ETUDES INTERDISCIPLINAIRES SUR LE MONDE INSULINDIEN,ARCHIPEL,FRANCE,,,X,
ARCHISTOR-ARCHITECTURE HISTORY RESTORATION,ARCHISTOR-ARCHIT HIS,ITALY,,,,X
ARCHITECT,ARCHITECT,UNITED STATES,,,X,
ARCHITECTURAL DESIGN,ARCHIT DESIGN,ENGLAND,,,X,
ARCHITECTURAL ENGINEERING AND DESIGN MANAGEMENT,ARCHIT ENG DES MANAG,ENGLAND,X,,,
ARCHITECTURAL HISTORIES,ARCHIT HIST-LONDON,ENGLAND,,,,X
ARCHITECTURAL HISTORY,ARCHIT HIST,ENGLAND,,,X,
ARCHITECTURAL RECORD,ARCHIT REC,UNITED STATES,,,X,
ARCHITECTURAL REVIEW,ARCHIT REV,ENGLAND,,,X,
ARCHITECTURAL SCIENCE REVIEW,ARCHIT SCI REV,ENGLAND,,,X,
ARCHITECTURAL THEORY REVIEW,ARCHIT THEORY REV,ENGLAND,,,X,
ARCHITECTURE AND CULTURE,ARCHIT CULT,UNITED STATES,,,,X
ARCHITECTURE CIVIL ENGINEERING ENVIRONMENT,ARCHIT CIV ENG ENVIR,POLAND,,,,X
ARCHITECTURE SOUTH AFRICA,ARCHIT S AFR,SOUTH AFRICA,,,,X
ARCHITEKTURA & URBANIZMUS,ARCHITEKT URBAN,SLOVAKIA,,,X,
ARCHIV DER MATHEMATIK,ARCH MATH,SWITZERLAND,X,,,
ARCHIV DER PHARMAZIE,ARCH PHARM,GERMANY,X,,,
ARCHIV EUROMEDICA,ARCH EUROMEDICA,GERMANY,,,,X
ARCHIV FUR DAS STUDIUM DER NEUEREN SPRACHEN UND LITERATUREN,ARCH STUD NEUE SPR,GERMANY,,,X,
ARCHIV FUR GESCHICHTE DER PHILOSOPHIE,ARCH GESCH PHILOS,GERMANY,,,X,
ARCHIV FUR MOLLUSKENKUNDE,ARCH MOLLUSKENKD,GERMANY,X,,,
ARCHIV FUR MUSIKWISSENSCHAFT,ARCH MUSIKWISS,GERMANY,,,X,
ARCHIV FUR PAPYRUSFORSCHUNG UND VERWANDTE GEBIETE,ARCH PAPYRUSFORSCH,GERMANY,,,X,
ARCHIV FUR RECHTS- UND SOZIALPHILOSOPHIE,ARCH RECHTS- SOZIALP,GERMANY,,,,X
ARCHIV FUR REFORMATIONSGESCHICHTE-ARCHIVE FOR REFORMATION HISTORY,ARCH REFORMATIONSGES,GERMANY,,,X,
ARCHIV ORIENTALNI,ARCH ORIENT,CZECH REPUBLIC,,,X,
ARCHIVAL SCIENCE,ARCH SCI-NETHERLANDS,NETHERLANDS,,,,X
ARCHIVE FOR HISTORY OF EXACT SCIENCES,ARCH HIST EXACT SCI,GERMANY,X,,X,
ARCHIVE FOR MATHEMATICAL LOGIC,ARCH MATH LOGIC,GERMANY,X,,,
ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS,ARCH RATION MECH AN,GERMANY,X,,,
ARCHIVE FOR THE PSYCHOLOGY OF RELIGION-ARCHIV FUR RELIGIONSPSYCHOLOGIE,ARCH PSYCHOL RELIG,NETHERLANDS,,X,X,
ARCHIVE OF APPLIED MECHANICS,ARCH APPL MECH,GERMANY,X,,,
ARCHIVE OF MECHANICAL ENGINEERING,ARCH MECH ENG,POLAND,,,,X
ARCHIVES AND MANUSCRIPTS,ARCH MANUSCR,AUSTRALIA,,,,X
ARCHIVES AND RECORDS-THE JOURNAL OF THE ARCHIVES AND RECORDS ASSOCIATION,ARCH REC,ENGLAND,,,X,
ARCHIVES ANIMAL BREEDING,ARCH ANIM BREED,GERMANY,X,,,
ARCHIVES DE PEDIATRIE,ARCH PEDIATRIE,FRANCE,X,,,
ARCHIVES DES MALADIES PROFESSIONNELLES ET DE L ENVIRONNEMENT,ARCH MAL PROF ENVIRO,FRANCE,X,,,
ARCHIVES EUROPEENNES DE SOCIOLOGIE,ARCH EUR SOCIOL,FRANCE,,X,,
ARCHIVES FOR TECHNICAL SCIENCES,ARCH TECH SCI,BOSNIA & HERCEG,,,,X
ARCHIVES ITALIENNES DE BIOLOGIE,ARCH ITAL BIOL,ITALY,X,,,
ARCHIVES OF ACADEMIC EMERGENCY MEDICINE,ARCH ACAD EMERG MED,IRAN,,,,X
ARCHIVES OF ACOUSTICS,ARCH ACOUST,POLAND,X,,,
ARCHIVES OF AESTHETIC PLASTIC SURGERY,ARCH AESTHET PLAST S,SOUTH KOREA,,,,X
ARCHIVES OF AGRONOMY AND SOIL SCIENCE,ARCH AGRON SOIL SCI,ENGLAND,X,,,
ARCHIVES OF AMERICAN ART JOURNAL,ARCH AM ART J,UNITED STATES,,,X,
ARCHIVES OF ANIMAL NUTRITION,ARCH ANIM NUTR,ENGLAND,X,,,
ARCHIVES OF ASIAN ART,ARCH ASIAN ART,UNITED STATES,,,X,
ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,ARCH BIOCHEM BIOPHYS,UNITED STATES,X,,,
ARCHIVES OF BIOLOGICAL SCIENCES,ARCH BIOL SCI,SERBIA,X,,,
ARCHIVES OF BONE AND JOINT SURGERY-ABJS,ARCH BONE JT SURG-AB,IRAN,,,,X
ARCHIVES OF BUDO,ARCH BUDO,UNITED STATES,X,,,
ARCHIVES OF BUDO SCIENCE OF MARTIAL ARTS AND EXTREME SPORTS,ARCH BUDO SCI MARTIA,POLAND,,,,X
ARCHIVES OF CARDIOVASCULAR DISEASES,ARCH CARDIOVASC DIS,FRANCE,X,,,
ARCHIVES OF CARDIOVASCULAR DISEASES SUPPLEMENTS,ARCH CARDIOVAS DIS S,FRANCE,,,,X
ARCHIVES OF CIVIL AND MECHANICAL ENGINEERING,ARCH CIV MECH ENG,POLAND,X,,,
ARCHIVES OF CIVIL ENGINEERING,ARCH CIV ENG,POLAND,,,,X
ARCHIVES OF CLINICAL INFECTIOUS DISEASES,ARCH CLIN INFECT DIS,IRAN,,,,X
ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,ARCH CLIN NEUROPSYCH,ENGLAND,X,X,,
ARCHIVES OF CLINICAL PSYCHIATRY,ARCH CLIN PSYCHIAT,BRAZIL,X,,,
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,ARCH COMPUT METHOD E,NETHERLANDS,X,,,
ARCHIVES OF CONTROL SCIENCES,ARCH CONTROL SCI,POLAND,X,,,
ARCHIVES OF DERMATOLOGICAL RESEARCH,ARCH DERMATOL RES,GERMANY,X,,,
ARCHIVES OF DISEASE IN CHILDHOOD,ARCH DIS CHILD,ENGLAND,X,,,
ARCHIVES OF DISEASE IN CHILDHOOD-EDUCATION AND PRACTICE EDITION,ARCH DIS CHILDHOOD-E,UNITED STATES,X,,,
ARCHIVES OF DISEASE IN CHILDHOOD-FETAL AND NEONATAL EDITION,ARCH DIS CHILD-FETAL,UNITED STATES,X,,,
ARCHIVES OF ELECTRICAL ENGINEERING,ARCH ELECTR ENG,POLAND,,,,X
ARCHIVES OF ENDOCRINOLOGY METABOLISM,ARCH ENDOCRIN METAB,BRAZIL,X,,,
ARCHIVES OF ENVIRONMENTAL & OCCUPATIONAL HEALTH,ARCH ENVIRON OCCUP H,UNITED STATES,X,,,
ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,ARCH ENVIRON CON TOX,UNITED STATES,X,,,
ARCHIVES OF ENVIRONMENTAL PROTECTION,ARCH ENVIRON PROT,POLAND,X,,,
ARCHIVES OF FOUNDRY ENGINEERING,ARCH FOUNDRY ENG,POLAND,,,,X
ARCHIVES OF GERONTOLOGY AND GERIATRICS,ARCH GERONTOL GERIAT,IRELAND,X,,,
ARCHIVES OF GYNECOLOGY AND OBSTETRICS,ARCH GYNECOL OBSTET,GERMANY,X,,,
ARCHIVES OF HELLENIC MEDICINE,ARCH HELL MED,GREECE,,,,X
ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY,ARCH INSECT BIOCHEM,UNITED STATES,X,,,
ARCHIVES OF IRANIAN MEDICINE,ARCH IRAN MED,IRAN,X,,,
ARCHIVES OF MECHANICS,ARCH MECH,POLAND,X,,,
ARCHIVES OF MEDICAL RESEARCH,ARCH MED RES,MEXICO,X,,,
ARCHIVES OF MEDICAL SCIENCE,ARCH MED SCI,POLAND,X,,,
ARCHIVES OF METALLURGY AND MATERIALS,ARCH METALL MATER,POLAND,X,,,
ARCHIVES OF MICROBIOLOGY,ARCH MICROBIOL,GERMANY,X,,,
ARCHIVES OF MINING SCIENCES,ARCH MIN SCI,POLAND,X,,,
ARCHIVES OF NATURAL HISTORY,ARCH NAT HIST,ENGLAND,X,X,X,
ARCHIVES OF NEUROSCIENCE,ARCH NEUROSCI,IRAN,,,,X
ARCHIVES OF ORAL BIOLOGY,ARCH ORAL BIOL,ENGLAND,X,,,
ARCHIVES OF OROFACIAL SCIENCE,ARCH OROFAC SCI,MALAYSIA,,,,X
ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY,ARCH ORTHOP TRAUM SU,GERMANY,X,,,
ARCHIVES OF OSTEOPOROSIS,ARCH OSTEOPOROS,ENGLAND,X,,,
ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,ARCH PATHOL LAB MED,UNITED STATES,X,,,
ARCHIVES OF PEDIATRIC INFECTIOUS DISEASES,ARCH PEDIATR INFECT,IRAN,,,,X
ARCHIVES OF PHARMACAL RESEARCH,ARCH PHARM RES,SOUTH KOREA,X,,,
ARCHIVES OF PHARMACY PRACTICE,ARCH PHARM PRACT,ENGLAND,,,,X
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,ARCH PHYS MED REHAB,UNITED STATES,X,,,
ARCHIVES OF PHYSIOLOGY AND BIOCHEMISTRY,ARCH PHYSIOL BIOCHEM,ENGLAND,X,,,
ARCHIVES OF PLASTIC SURGERY-APS,ARCH PLAST SURG-APS,SOUTH KOREA,,,,X
ARCHIVES OF PSYCHIATRIC NURSING,ARCH PSYCHIAT NURS,UNITED STATES,X,X,,
ARCHIVES OF PSYCHIATRY AND PSYCHOTHERAPY,ARCH PSYCHIATR PSYCH,POLAND,,,,X
ARCHIVES OF PUBLIC HEALTH,ARCH PUBLIC HEALTH,ENGLAND,X,X,,
ARCHIVES OF REHABILITATION,ARCH REHABIL,GERMANY,,,,X
ARCHIVES OF RHEUMATOLOGY,ARCH RHEUMATOL,TURKEY,X,,,
ARCHIVES OF SEXUAL BEHAVIOR,ARCH SEX BEHAV,UNITED STATES,,X,,
ARCHIVES OF SUICIDE RESEARCH,ARCH SUICIDE RES,ENGLAND,,X,,
ARCHIVES OF THERMODYNAMICS,ARCH THERMODYN,POLAND,,,,X
ARCHIVES OF TOXICOLOGY,ARCH TOXICOL,GERMANY,X,,,
ARCHIVES OF TRAUMA RESEARCH,ARCH TRAUMA RES,IRAN,,,,X
ARCHIVES OF VIROLOGY,ARCH VIROL,AUSTRIA,X,,,
ARCHIVES OF WOMENS MENTAL HEALTH,ARCH WOMEN MENT HLTH,AUSTRIA,X,,,
ARCHIVIO ITALIANO DI UROLOGIA E ANDROLOGIA,ARCH ITAL UROL ANDRO,ITALY,,,,X
ARCHIVIO STORICO ITALIANO,ARCH STORICO ITAL,ITALY,,,X,
ARCHIVO ESPANOL DE ARQUEOLOGIA,ARCH ESPAN ARQUEOL,SPAIN,,,X,
ARCHIVO ESPANOL DE ARTE,ARCH ESPAN ART,SPAIN,,,X,
ARCHIVOS ARGENTINOS DE PEDIATRIA,ARCH ARGENT PEDIATR,ARGENTINA,X,,,
ARCHIVOS DE BRONCONEUMOLOGIA,ARCH BRONCONEUMOL,SPAIN,X,,,
ARCHIVOS DE MEDICINA,ARCH MED,COLOMBIA,,,,X
ARCHIVOS ESPANOLES DE UROLOGIA,ARCH ESP UROL,SPAIN,X,,,
ARCHIVOS LATINOAMERICANOS DE NUTRICION,ARCH LATINOAM NUTR,VENEZUELA,X,,,
ARCHIVUM,ARCHIVUM,SPAIN,,,,X
ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EXPERIMENTALIS,ARCH IMMUNOL THER EX,POLAND,X,,,
ARCHIVUM MATHEMATICUM,ARCH MATH-BRNO,CZECH REPUBLIC,,,,X
ARCHNET-IJAR INTERNATIONAL JOURNAL OF ARCHITECTURAL RESEARCH,ARCHNET-IJAR,ENGLAND,,,X,
ARCTIC,ARCTIC,CANADA,X,,,
ARCTIC ANTARCTIC AND ALPINE RESEARCH,ARCT ANTARCT ALP RES,UNITED STATES,X,,,
ARCTIC ANTHROPOLOGY,ARCTIC ANTHROPOL,UNITED STATES,,X,,
ARCTIC SCIENCE,ARCT SCI,CANADA,X,,,
ARDEA,ARDEA,NETHERLANDS,X,,,
